naam;specs;cat;pref;backup;volgw;opm
2032 batterijen;;batterijen;OKAY;SPAR;2070;
6 appelsienen;;fruit;OKAY;SPAR;1610;
AAA-batterijen;;batterijen;OKAY;SPAR;2040;
AA-batterijen;;batterijen;OKAY;SPAR;2030;
aanstekers;;batterijen;OKAY;SPAR;2050;
aardappelen bloem aardappelen;;keuken;OKAY;SPAR;980;
aardbeien 2 doosjes;;fruit;OKAY;SPAR;1680;
after sun voor kinderen;;persoonlijk;OKAY;SPAR;1040;
ajuin;;keuken;OKAY;SPAR;990;
alpro vanille;;melk;OKAY;SPAR;1730;
aluminium folie;;logistiek;OKAY;SPAR;810;
americain natuur;;beleg;OKAY;SPAR;1390;
americain prepare;;beleg;OKAY;SPAR;1140;
amerikaanse saus;;sausen ed;OKAY;SPAR;380;
appelen;;fruit;OKAY;SPAR;1660;
appelsien pers;;fruit;OKAY;SPAR;1620;
appelsiensap;;drank;OKAY;SPAR;1820;
arachideolie;;keuken;OKAY;SPAR;390;
augurken;;sausen ed;OKAY;SPAR;210;
bâton dunne salami worst;;beleg;OKAY;SPAR;1090;
balsamico;;sausen ed;OKAY;SPAR;470;
bami goreng;;maaltijd;OKAY;SPAR;1694;
bananen;;fruit;OKAY;SPAR;1080;
basilicum met wortel;;kruiden;OKAY;SPAR;1604;
bechamel;;keuken;OKAY;SPAR;220;
betterfood;;ontbijt;OKAY;SPAR;1020;
blauwe vuilzakken;;logistiek;OKAY;SPAR;770;
boter;;melk;OKAY;SPAR;1270;
boter 2 pakken;;melk;OKAY;SPAR;1280;
boterhamzakjes 5 L en 1 L;;logistiek;OKAY;SPAR;790;
brood donker;;brood;Bakker;OKAY;1860;
brood lichtbruin;;brood;Bakker;OKAY;1850;
bruin frans brood;;brood;OKAY;OKAY;1830;
bruine kinderkessuiker;;ontbijt;OKAY;SPAR;230;
bruine rijst;;keuken;OKAY;SPAR;240;
bruisend water bru?;;drank;OKAY;SPAR;920;
canderelsuiker;;drank;OKAY;SPAR;250;
cashew noten;;snack;OKAY;SPAR;45;
cervela;;snack;OKAY;SPAR;1145;
cesar salad;;maaltijd;OKAY;SPAR;1320;
champignons;;groenten;OKAY;SPAR;1530;
chili pepers;;groenten;OKAY;SPAR;1540;
chineze kool;;groenten;OKAY;SPAR;1592;
chips paprika;;snack;OKAY;SPAR;20;
chips zout;;snack;OKAY;SPAR;30;
choco;;ontbijt;OKAY;SPAR;260;
choco pops Louis;;maaltijd;OKAY;SPAR;95;
chocolade of zo;;snack;OKAY;SPAR;140;
chocoladeijs;;snack;OKAY;SPAR;1950;
Citroenconcentraat voor frisdrank;;drank;OKAY;SPAR;50;
citroenijs;;snack;OKAY;SPAR;1960;
CO2 flessen;;logistiek;OKAY;SPAR;375;
cola 6 blikjes (gewone);;drank;OKAY;SPAR;870;
cola zero;;drank;OKAY;SPAR;880;
confituur rabarber aardbei;;ontbijt;OKAY;SPAR;80;
contrefillet rund;;vlees;OKAY;SPAR;1410;
cordon bleu;;vlees;OKAY;SPAR;1470;
corn flakes [DUBBEL];;ontbijt;OKAY;SPAR;100;
couscous;;keuken;OKAY;SPAR;270;
crumble sablé au beurre;;snack;OKAY;SPAR;162;
crumble speculoos;;snack;OKAY;SPAR;163;
dentastix;;dier;OKAY;SPAR;720;
dethol citroen;;logistiek;OKAY;SPAR;580;
diepvries champignons;;groenten;OKAY;SPAR;1895;
diepvriesgroenten catalaans 2x;;groenten;OKAY;SPAR;1970;
diepvriesgroenten mediteraan 2x;;groenten;OKAY;SPAR;1980;
diepvriesgroenten mix pierre;;keuken;OKAY;SPAR;1930;
diepvriesgroenten spinazie, bloe...;;groenten;OKAY;SPAR;1890;
diepvrieskroketten;;keuken;OKAY;SPAR;1920;
diepvriessoepgroenten;;groenten;OKAY;SPAR;1940;
dikke ribbetjes;;vlees;OKAY;SPAR;1400;
dille met wortel;;groenten;OKAY;SPAR;1600;
doggybagzakken met sluiting;;logistiek;OKAY;SPAR;800;
douchegel;;persoonlijk;OKAY;SPAR;1060;
droge worstjes;;snack;OKAY;SPAR;1330;
druiven;;fruit;OKAY;SPAR;1670;
effi of becel;;keuken;OKAY;SPAR;1190;
eieren;;keuken;OKAY;SPAR;1210;
energierepen;;snack;OKAY;SPAR;130;
engelse saus;;sausen ed;OKAY;SPAR;480;
entrecôte rund;;vlees;OKAY;SPAR;1380;
evian Louis water;;drank;OKAY;SPAR;820;
fanta 6 blikjes;;drank;OKAY;SPAR;830;
fish sticks;;vis;OKAY;SPAR;1990;
fles bruin piedboeuf;;drank;OKAY;SPAR;940;
Fondue enkel opwarmen;;maaltijd;OKAY;SPAR;1300;
frietjes diepvries;;keuken;OKAY;SPAR;1900;
frisk fresh effect of iets gelijkaardigs;;snack;OKAY;SPAR;150;
frituurolie;;keuken;OKAY;SPAR;280;
Fruitmoes (vloeibare confituur aardbei);Fruitmoes (vloeibare confituur aardbei);drank;OKAY;SPAR;57;
gehakt gemengd 1 kilo;;keuken;OKAY;SPAR;1430;
gehakt kalf voor boterham;;vlees;OKAY;SPAR;1445;
gehakt varken kalf voor de boterh...;;beleg;OKAY;SPAR;1440;
